StartingYear,StartingSemester,FldCode,EduSecCode,TahsilHoze,Feqh,age,nationality,locality,LocationCityId,MaritalStatus,NumChildren,MilitaryStatus,Gallantry,PhysicalStatus,LesTotalUnit,IsPassedUnit,termCount,VocationCount,Avg1,Avg2,Avg3,Avg4,Avg5,Avg6,Avg7,Avg8,Avg9,Avg10,Avg11,Avg12,SelectedUnit1,SelectedUnit2,SelectedUnit3,SelectedUnit4,SelectedUnit5,SelectedUnit6,SelectedUnit7,SelectedUnit8,SelectedUnit9,SelectedUnit10,SelectedUnit11,SelectedUnit12,PassedUnit1,PassedUnit2,PassedUnit3,PassedUnit4,PassedUnit5,PassedUnit6,PassedUnit7,PassedUnit8,PassedUnit9,PassedUnit10,PassedUnit11,PassedUnit12,AbsentNo1,AbsentNo2,AbsentNo3,AbsentNo4,AbsentNo5,AbsentNo6,AbsentNo7,AbsentNo8,AbsentNo9,AbsentNo10,AbsentNo11,AbsentNo12,AbsentNoAll,AdmCode,SentArticle,SentArticleAccept,StudyHours1,StudyHours2,StudyHours3,StudyHours4,StudyHours5,StudyHours6,StudyHours7,StudyHours8,StudyHours9,StudyHours10,StudyHours11,StudyHours12,StudyHoursSum,TotalAve
1389,1,28,2,3,0,28,8,2,26,2,0,3,0,1,158,158,10,0,16.53,16.78,17.56,16.84,16.67,16.05,16.34,16.82,16.36,0.00,0.00,0.00,15,15,17,19,15,19,19,17,14,0,0,0,15,15,17,19,15,19,19,17,14,0,0,0,9,9,16,14,8,13,21,18,12,0,0,0,119,1,0,0,258,108,140,0,32,107,49,0,0,0,0,0,694,B
1389,1,28,2,4,1,25,8,2,26,2,0,1,0,1,160,158,10,0,18.10,16.38,15.15,16.00,18.00,16.57,15.60,17.31,16.78,18.00,0.00,0.00,15,17,17,18,24,22,17,16,9,2,0,0,15,15,17,18,24,22,17,16,9,2,0,0,1,8,10,11,1,11,10,12,8,0,0,0,72,1,0,0,360,440,275,240,250,270,200,200,100,0,0,0,2335,B
1389,1,28,2,3,1,22,8,1,26,2,0,1,0,1,158,158,10,0,15.77,17.37,16.73,17.17,16.25,17.05,16.53,18.00,18.92,0.00,0.00,0.00,15,15,15,18,19,20,17,23,12,0,0,0,15,15,15,18,19,20,17,23,12,0,0,0,8,13,7,9,13,12,9,16,7,0,0,0,92,1,0,0,0,30,70,85,50,78,0,0,25,0,0,0,338,B
1389,1,28,2,5,1,23,8,1,26,2,0,1,0,1,158,158,10,0,19.30,19.04,18.35,18.81,19.08,19.33,18.92,18.68,18.00,0.00,0.00,0.00,15,17,17,21,20,21,18,17,6,0,0,0,15,17,17,21,20,21,18,17,6,0,0,0,13,12,6,4,7,8,6,13,4,0,0,0,71,1,7,3,0,0,55,75,25,55,66,50,0,0,0,0,326,A
1389,1,28,2,3,1,22,8,1,26,2,0,3,0,1,160,158,10,0,14.83,18.30,17.21,19.23,16.75,18.84,17.15,17.86,17.45,18.50,0.00,0.00,15,15,17,13,13,22,24,22,11,2,0,0,15,15,15,13,13,22,24,22,11,2,0,0,11,1,14,10,8,11,19,9,8,0,0,0,90,1,3,0,345,340,265,220,220,245,215,170,180,0,0,0,2200,B
1389,1,28,2,3,1,22,8,2,26,2,0,3,0,1,161,158,8,0,17.00,17.26,16.00,17.82,18.72,17.32,17.96,18.95,0.00,0.00,0.00,0.00,15,17,17,19,24,19,25,21,0,0,0,0,15,17,14,19,24,19,25,21,0,0,0,0,3,11,9,14,3,3,9,9,0,0,0,0,60,1,1,1,150,15,30,25,26,0,0,25,0,0,0,0,271,B
1389,1,28,2,3,1,27,8,2,26,2,0,3,0,1,158,158,10,0,19.37,19.34,19.21,19.29,18.65,18.96,19.62,18.22,0.00,19.50,0.00,0.00,15,19,19,19,20,23,22,9,0,2,0,0,15,19,19,19,20,23,22,9,0,2,0,0,10,8,15,4,14,9,4,6,3,0,0,0,73,1,0,0,0,120,500,500,350,500,250,350,400,100,0,0,3070,A
1389,1,29,2,3,0,26,8,1,26,2,0,3,0,1,163,159,10,0,15.27,17.07,15.88,16.81,13.98,14.82,16.18,16.31,17.78,16.00,0.00,0.00,15,15,16,18,26,14,14,18,18,9,0,0,11,15,16,18,26,14,14,18,18,9,0,0,4,7,13,14,9,6,10,7,5,2,0,0,75,1,0,0,80,55,35,20,30,25,60,90,82,180,0,0,657,B
1389,1,29,2,3,0,29,8,1,26,2,0,3,0,1,159,159,10,0,17.17,19.23,19.62,19.83,19.70,18.72,18.50,18.81,18.72,0.00,0.00,0.00,15,15,16,18,20,16,21,16,16,0,0,0,15,15,16,18,20,16,21,16,16,0,0,0,8,0,3,7,2,4,4,4,10,0,0,0,41,1,1,0,375,330,305,250,250,250,360,520,200,0,0,0,2840,A
1389,1,29,2,5,0,21,8,1,26,2,0,3,0,1,159,147,10,0,10.54,15.47,15.90,17.07,17.87,15.43,15.29,14.13,14.44,0.00,0.00,0.00,18,18,18,18,23,15,12,15,16,0,0,0,14,16,18,18,23,13,10,13,16,0,0,0,11,10,10,13,20,13,10,13,2,0,0,0,100,1,0,0,46,60,80,100,115,0,0,0,0,0,0,0,401,C
1389,1,29,2,3,1,27,8,2,26,1,0,3,0,1,159,159,10,0,17.20,18.24,17.75,18.92,17.72,16.59,18.11,18.25,19.54,0.00,0.00,0.00,15,19,16,18,23,16,16,16,14,0,0,0,15,19,16,18,23,16,16,16,14,0,0,0,3,4,3,0,2,1,15,4,0,0,0,0,32,1,1,0,180,214,225,171,185,150,125,106,175,0,0,0,1531,A
1389,1,29,2,3,1,22,8,2,26,2,0,3,0,1,159,159,10,0,17.27,17.81,19.53,19.36,19.25,18.75,19.48,19.46,19.47,0.00,0.00,0.00,11,13,16,20,20,16,21,20,16,0,0,0,11,13,16,20,20,16,21,20,16,0,0,0,11,1,5,8,0,1,3,1,0,0,0,0,30,1,1,0,58,330,300,250,250,250,250,250,200,0,0,0,2138,A
1389,1,29,2,3,1,23,8,1,26,2,0,3,0,1,147,145,10,0,15.82,19.88,19.62,18.57,19.02,17.85,18.59,18.33,8.00,0.00,0.00,0.00,11,13,17,19,24,17,17,15,4,0,0,0,11,13,17,19,24,17,17,15,2,0,0,0,5,8,9,6,8,13,10,10,18,0,0,0,85,1,0,0,80,57,100,107,130,40,65,65,0,0,0,0,644,A
1389,1,29,2,1,0,25,8,1,26,2,0,3,0,1,165,159,12,0,14.89,12.39,11.79,14.64,17.37,15.39,15.79,16.00,15.65,15.51,18.04,0.00,9,9,12,14,19,18,12,16,17,20,13,0,9,7,8,14,19,18,12,16,17,20,13,0,27,9,6,20,21,7,9,24,14,16,3,0,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
1389,1,29,2,5,0,27,8,1,26,2,0,3,0,1,159,159,10,0,16.10,18.67,19.09,18.81,17.72,17.47,18.26,18.35,19.21,0.00,0.00,0.00,15,15,16,18,16,16,17,24,18,0,0,0,15,15,16,18,16,16,17,24,18,0,0,0,17,18,19,10,11,12,12,10,12,0,0,0,120,1,1,0,70,245,300,250,250,250,355,400,290,50,0,0,2460,A
1389,1,30,2,3,1,30,8,1,26,2,0,3,0,1,160,153,10,0,13.60,17.29,16.18,16.85,17.05,17.07,17.18,17.12,16.43,19.00,0.00,0.00,15,14,17,13,19,19,20,16,18,3,0,0,8,14,17,13,19,19,20,16,18,3,0,0,6,8,8,8,7,6,16,19,7,0,0,0,84,1,0,0,90,60,142,0,25,75,0,30,25,0,0,0,447,B
1389,1,30,2,3,1,25,8,2,26,1,0,3,0,1,161,161,10,0,16.25,18.61,15.50,16.75,18.29,15.26,17.89,17.61,16.64,18.50,0.00,0.00,12,14,14,14,24,19,18,14,22,4,0,0,12,14,14,14,24,19,18,14,22,4,0,0,4,9,9,15,10,6,13,12,14,0,0,0,91,1,0,0,196,330,336,360,38,77,63,25,53,0,0,0,1478,B
1390,1,28,2,3,1,21,8,1,26,1,0,1,0,1,158,158,8,0,18.56,17.89,18.84,18.91,18.57,18.25,17.69,17.83,0.00,0.00,0.00,0.00,16,16,19,19,21,21,24,12,0,0,0,0,16,16,19,19,21,21,24,12,0,0,0,0,9,17,15,9,14,13,23,17,0,0,0,0,115,1,0,0,200,190,230,220,270,110,170,150,0,0,0,0,1540,A
1389,1,29,2,3,0,28,8,2,26,2,0,1,0,1,167,159,12,0,12.77,15.50,14.30,17.42,16.69,14.71,16.03,15.19,17.04,17.00,0.00,0.00,15,15,10,12,24,14,19,18,20,8,0,0,9,13,10,12,24,14,19,18,20,8,0,0,13,8,6,15,10,5,4,6,6,6,0,0,79,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,C
1389,1,30,2,4,0,26,8,2,26,2,0,1,0,1,156,153,10,0,15.40,16.58,13.81,18.13,16.53,18.11,17.96,17.50,17.68,0.00,0.00,0.00,15,19,16,19,15,11,14,20,14,0,0,0,15,19,13,19,15,11,14,20,14,0,0,0,7,11,13,11,8,4,10,13,8,0,0,0,83,1,1,0,71,32,55,50,40,0,25,60,25,0,0,0,358,B
1389,1,30,2,1,0,27,8,1,26,2,0,1,0,1,155,153,10,0,18.30,16.00,16.11,16.91,18.71,17.50,17.42,17.81,17.19,17.25,0.00,0.00,15,17,14,17,17,15,20,18,18,4,0,0,15,15,14,17,17,15,20,18,18,4,0,0,9,15,9,21,8,8,17,14,7,0,0,0,108,1,1,0,82,0,0,25,0,25,0,25,0,0,0,0,157,B
1389,1,30,2,3,1,26,8,1,26,2,0,1,0,1,153,153,8,0,16.27,18.47,16.43,19.36,17.64,18.63,18.22,17.93,0.00,0.00,0.00,0.00,18,19,19,14,19,21,16,14,0,0,0,0,18,19,19,14,19,21,16,14,0,0,0,0,6,13,17,11,7,17,11,13,0,0,0,0,95,1,3,2,0,0,71,99,82,54,87,69,0,0,0,0,462,B
1389,1,30,2,3,1,20,8,1,26,2,0,1,0,1,145,141,10,1,13.77,19.27,17.89,18.42,18.42,0.00,19.08,18.68,18.63,19.33,0.00,0.00,11,14,18,13,12,0,18,20,23,6,0,0,7,14,18,13,12,0,18,20,23,6,0,0,11,13,13,34,6,0,11,15,11,0,0,0,112,1,0,0,10,0,60,0,0,0,0,10,0,0,0,0,80,A
1389,1,31,2,5,1,25,8,2,26,2,0,3,0,1,149,149,8,0,15.90,18.27,17.69,18.47,17.22,16.82,18.78,18.44,0.00,0.00,0.00,0.00,15,15,16,15,18,22,18,18,0,0,0,0,15,15,16,15,18,22,18,18,0,0,0,0,10,8,12,15,8,20,3,10,0,0,0,0,85,1,2,0,450,450,300,250,250,150,250,250,0,0,0,0,2350,B
1389,1,31,2,5,0,26,8,1,26,2,0,1,0,1,149,149,10,0,18.27,18.72,19.65,18.81,18.98,17.86,18.67,18.33,19.50,20.00,0.00,0.00,15,15,17,16,20,18,18,18,2,4,0,0,15,15,17,16,20,18,18,18,2,4,0,0,7,8,16,18,9,8,10,11,1,0,0,0,86,1,1,0,135,90,250,410,400,270,400,420,350,0,0,0,2725,A
1389,1,31,2,1,0,26,8,2,26,2,0,3,0,1,149,149,10,0,17.90,19.33,18.86,19.73,18.56,19.11,19.39,18.78,17.93,20.00,0.00,0.00,15,15,14,15,17,14,18,16,14,7,0,0,15,15,14,15,17,14,18,16,14,7,0,0,12,9,17,17,5,7,18,11,7,6,0,0,109,1,1,0,94,224,286,250,273,335,412,326,415,265,0,0,2880,A
1389,1,31,2,3,0,33,8,2,26,2,0,1,0,1,151,149,10,0,15.53,14.58,17.25,15.49,17.86,15.28,17.30,16.72,17.67,0.00,0.00,0.00,15,15,15,18,14,18,20,18,6,0,0,0,15,13,15,18,14,18,20,18,6,0,0,0,5,7,12,11,9,6,3,16,0,0,0,0,67,1,0,0,360,425,270,200,190,235,410,390,0,0,0,0,2480,B
1389,1,31,2,5,1,25,8,1,26,2,0,1,0,1,154,149,10,0,14.53,15.33,17.47,18.50,17.56,16.44,19.28,17.78,16.85,0.00,0.00,0.00,15,15,15,16,18,16,18,18,13,0,0,0,11,15,15,16,18,16,18,18,12,0,0,0,21,22,16,15,7,10,13,23,11,0,0,0,136,1,0,0,45,80,28,25,25,25,95,56,0,0,0,0,379,B
1389,1,32,2,5,1,23,8,2,26,2,0,1,0,1,150,150,8,0,19.37,19.25,18.66,19.24,19.28,18.50,18.73,18.75,0.00,0.00,0.00,0.00,15,15,17,17,18,21,21,16,0,0,0,0,15,15,17,17,18,21,21,16,0,0,0,0,11,21,12,9,10,13,16,17,0,0,0,0,107,1,2,1,101,45,133,111,142,81,58,86,0,0,0,0,757,A
1389,1,33,2,4,1,29,8,1,26,2,0,3,0,1,156,156,10,0,17.94,18.86,19.35,19.15,19.24,18.26,19.06,18.65,19.78,0.00,0.00,0.00,16,16,17,17,17,19,18,20,16,0,0,0,16,16,17,17,17,19,18,20,16,0,0,0,10,6,8,5,4,7,3,6,5,0,0,0,52,1,2,1,104,0,90,0,0,0,0,0,0,0,0,0,194,A
1389,1,33,2,5,0,24,8,2,26,2,0,1,0,1,160,156,12,1,17.02,17.12,19.18,0.00,17.36,16.43,16.75,16.39,14.92,15.95,0.00,0.00,14,15,17,0,11,22,16,18,12,22,4,0,14,15,17,0,11,22,16,18,12,22,0,0,0,0,0,0,21,11,7,16,7,9,12,0,82,1,0,0,65,270,225,50,245,155,80,205,286,120,0,0,1701,B
1389,1,33,2,3,1,25,8,1,26,1,0,3,0,1,160,156,8,0,18.38,18.81,19.74,19.91,19.64,19.63,19.42,19.50,0.00,0.00,0.00,0.00,16,18,19,23,21,19,20,20,0,0,0,0,16,18,19,23,21,19,20,16,0,0,0,0,7,7,11,8,6,5,7,4,0,0,0,0,54,1,0,0,0,0,45,69,80,160,0,0,0,0,0,0,354,A
1389,1,33,2,1,0,24,8,1,26,2,0,3,0,1,144,144,10,0,18.50,18.12,18.65,18.62,19.45,19.00,18.12,18.32,19.55,18.67,0.00,0.00,16,15,16,17,17,11,16,19,11,6,0,0,16,15,16,17,17,11,16,19,11,6,0,0,33,4,13,7,3,16,5,3,3,0,0,0,86,1,0,0,30,130,55,30,25,60,0,30,0,0,0,0,360,A
1389,1,33,2,5,1,21,8,1,26,2,0,3,0,1,156,156,10,0,17.28,17.58,16.83,18.47,16.82,15.76,16.11,16.38,18.43,0.00,0.00,0.00,16,18,15,17,20,19,18,20,7,0,0,0,16,18,15,17,20,19,18,20,7,0,0,0,6,10,9,7,13,8,10,11,3,0,0,0,77,1,0,0,0,0,25,25,0,0,0,0,0,0,0,0,50,B
1389,1,33,2,5,1,28,8,1,26,2,1,4,0,1,143,143,8,0,15.22,16.18,16.71,15.92,15.32,16.10,19.04,16.38,0.00,0.00,0.00,0.00,9,14,19,20,17,20,16,16,0,0,0,0,9,14,19,20,17,20,16,16,0,0,0,0,49,16,7,6,12,15,10,10,0,0,0,0,123,1,2,0,0,0,0,75,0,0,0,0,0,0,0,0,75,B
1389,1,33,2,5,0,23,8,1,26,2,0,3,0,1,156,156,12,2,0.00,0.00,16.64,17.69,18.16,17.80,16.61,15.54,16.77,17.80,17.26,15.93,0,0,15,12,19,20,18,13,13,15,17,14,0,0,15,12,19,20,18,13,13,15,17,14,0,0,6,5,7,5,6,9,9,9,9,11,76,1,0,0,0,0,0,0,63,30,0,30,35,0,0,0,158,B
1389,1,33,2,1,1,24,8,1,26,2,0,3,0,1,144,144,8,0,17.42,18.75,17.18,18.35,19.03,19.90,18.47,17.57,0.00,0.00,0.00,0.00,16,15,14,14,16,20,18,29,0,0,0,0,16,15,14,14,16,20,18,29,0,0,0,0,8,6,7,6,12,9,6,12,0,0,0,0,64,1,7,1,205,450,304,200,260,355,460,425,0,0,0,0,2659,A
1389,1,35,2,3,1,29,8,2,26,2,0,1,0,1,150,150,8,0,18.54,16.60,18.57,19.39,19.39,17.59,18.09,17.76,0.00,0.00,0.00,0.00,17,15,15,19,18,17,22,17,0,0,0,0,17,15,15,19,18,17,22,17,0,0,0,0,5,13,10,13,5,10,14,12,0,0,0,0,80,1,1,1,50,40,46,0,50,50,195,150,0,0,0,0,581,A
1389,1,35,2,5,0,26,8,1,26,2,0,3,0,1,158,150,12,2,0.00,17.73,18.60,18.67,18.67,18.81,17.96,18.85,18.67,18.85,0.00,0.00,0,15,15,12,15,24,24,17,10,10,0,0,0,15,15,12,15,24,24,13,6,10,0,0,0,19,16,0,14,16,21,12,5,10,0,0,111,1,0,0,0,0,32,30,50,90,165,250,315,160,0,0,1092,A
1389,1,24,2,5,1,30,8,2,26,2,0,1,0,1,150,150,8,0,17.19,19.25,19.12,19.62,19.15,18.90,19.20,19.25,0.00,0.00,0.00,0.00,16,16,17,16,20,25,22,8,0,0,0,0,16,16,17,16,20,25,22,8,0,0,0,0,0,3,5,2,0,3,0,0,0,0,0,0,13,1,1,0,317,290,254,192,215,173,238,125,0,0,0,0,1804,A
1389,1,24,2,4,1,29,8,1,26,2,0,3,0,255,154,150,8,0,15.70,17.02,18.11,18.42,17.50,18.53,17.50,15.86,0.00,0.00,0.00,0.00,16,16,22,19,18,17,22,14,0,0,0,0,12,16,22,19,18,17,22,14,0,0,0,0,0,22,23,12,6,14,19,19,0,0,0,0,115,1,0,0,135,130,25,25,25,25,0,25,0,0,0,0,390,B
1389,1,24,2,3,1,24,8,1,26,2,0,1,0,1,150,150,8,0,16.30,17.11,18.88,19.44,17.54,17.94,18.23,19.67,0.00,0.00,0.00,0.00,16,16,17,16,24,24,22,6,0,0,0,0,16,16,17,16,24,24,22,6,0,0,0,0,0,4,3,12,5,9,8,0,0,0,0,0,41,1,14,12,135,190,182,232,144,118,75,0,0,0,0,0,1076,A
1389,1,24,2,5,1,26,8,1,26,2,0,3,0,1,150,150,8,0,15.96,18.66,18.94,18.62,17.70,18.73,19.06,19.00,0.00,0.00,0.00,0.00,16,16,17,16,23,22,24,12,0,0,0,0,16,16,17,16,23,22,24,12,0,0,0,0,0,10,12,8,7,13,12,4,0,0,0,0,65,1,2,2,295,380,245,200,205,150,185,155,0,0,0,0,1815,A
1389,1,24,2,5,1,28,8,2,26,2,0,3,4,1,150,150,10,0,15.71,18.53,17.80,18.67,17.86,16.47,18.67,18.50,17.50,0.00,0.00,0.00,11,19,17,15,22,15,18,20,3,0,0,0,11,19,17,15,22,15,18,20,3,0,0,0,52,26,17,24,17,15,11,12,0,0,0,0,173,1,0,0,220,150,50,55,155,180,90,120,0,0,0,0,1020,A
1389,1,32,2,3,0,26,8,2,26,2,0,3,0,1,152,150,10,0,14.90,16.00,15.47,17.57,15.56,15.32,17.44,16.00,15.00,0.00,0.00,0.00,15,19,19,21,18,22,16,6,10,0,0,0,13,19,19,21,18,22,16,6,10,0,0,0,9,6,18,9,4,11,15,4,1,0,0,0,75,1,0,0,134,194,68,125,90,153,138,45,0,0,0,0,947,B
1389,1,26,2,3,1,30,8,1,26,2,0,1,0,1,150,150,8,0,17.00,17.10,17.67,17.45,16.03,15.94,16.12,16.97,0.00,0.00,0.00,0.00,15,15,15,19,18,24,16,16,0,0,0,0,15,15,15,19,18,24,16,16,0,0,0,0,7,6,5,9,1,7,7,9,0,0,0,0,50,1,2,0,0,0,40,50,0,0,25,53,0,0,0,0,168,B
1389,1,26,2,3,0,23,8,2,26,2,0,3,0,1,150,150,12,2,0.00,0.00,17.25,18.50,17.22,16.10,16.80,17.16,19.92,18.06,0.00,16.50,0,0,16,16,18,20,20,22,12,8,0,10,0,0,16,16,18,20,20,22,12,8,0,10,0,0,9,10,14,12,14,17,5,3,6,8,97,1,0,0,0,0,52,101,92,50,30,61,0,26,0,0,412,B
1390,1,29,2,5,0,21,8,1,26,1,0,1,0,1,159,159,10,2,18.62,19.50,19.44,17.87,16.37,17.79,16.44,16.32,15.78,15.50,0.00,0.00,16,16,17,15,19,14,17,20,23,2,0,0,16,16,17,15,19,14,17,20,23,2,0,0,10,13,9,12,11,11,0,20,14,0,0,0,99,1,0,0,168,246,222,93,99,0,0,0,0,0,0,0,828,B
1389,1,30,2,3,0,22,8,1,26,2,0,3,0,1,153,153,10,0,16.37,17.43,17.00,17.59,18.20,16.38,18.20,17.22,17.75,0.00,0.00,0.00,15,15,14,11,15,19,20,16,18,0,0,0,15,15,14,11,15,19,20,16,18,0,0,0,16,19,13,14,7,14,17,14,16,0,0,0,129,1,1,1,0,0,25,25,30,20,38,27,0,0,0,0,165,B
1390,1,33,2,1,1,19,8,1,26,2,0,1,0,1,156,156,10,0,17.79,18.50,19.71,20.00,18.78,19.40,19.00,19.64,19.33,0.00,0.00,0.00,16,11,14,15,18,20,14,22,18,0,0,0,16,11,14,15,18,20,14,22,18,0,0,0,6,11,9,17,12,10,11,12,17,0,0,0,104,1,1,0,84,152,147,154,156,79,78,107,156,0,0,0,1113,A
1389,1,24,2,3,1,25,8,2,26,2,0,3,0,1,150,150,10,0,16.88,16.88,16.83,16.88,15.72,17.03,18.27,16.29,19.00,0.00,0.00,0.00,16,16,15,16,18,19,24,14,2,0,0,0,16,16,15,16,18,19,24,14,2,0,0,0,0,9,11,7,2,7,12,20,0,0,0,0,66,1,0,0,135,224,192,185,178,174,129,96,0,0,0,0,1313,B
1389,1,28,2,5,0,26,5,2,26,2,2,1,0,1,161,161,10,1,0.00,18.25,16.79,17.19,18.37,15.75,16.67,16.92,17.07,17.04,0.00,0.00,0,14,12,17,19,22,18,24,15,13,0,0,0,14,12,17,19,22,18,24,15,13,0,0,0,8,5,16,15,15,8,11,11,13,0,0,101,1,0,0,0,240,320,294,243,314,305,300,400,365,0,0,2781,B
1389,1,33,2,5,0,23,8,1,26,2,0,1,0,1,168,165,8,0,17.29,18.30,15.42,17.34,16.67,18.83,17.29,17.81,0.00,0.00,0.00,0.00,27,23,25,26,12,18,12,16,0,0,0,0,27,23,25,23,12,18,12,16,0,0,0,0,0,0,6,22,9,6,16,7,0,0,0,0,64,1,0,0,0,0,130,240,60,75,100,25,0,0,0,0,630,B
1389,1,33,2,5,1,28,8,1,26,1,0,1,0,1,173,167,8,0,18.75,19.33,15.63,16.25,16.58,17.11,17.88,17.06,0.00,0.00,0.00,0.00,31,24,27,30,12,18,12,16,0,0,0,0,31,24,24,27,12,18,12,16,0,0,0,0,0,0,9,24,12,6,19,9,0,0,0,0,78,1,0,0,0,0,0,59,35,0,50,0,0,0,0,0,144,B
1389,1,33,2,5,0,23,8,1,26,2,0,4,0,1,156,156,10,0,16.84,17.33,18.46,17.50,17.29,17.35,18.07,16.88,18.76,15.20,0.00,0.00,14,15,13,14,7,17,15,21,19,10,0,0,14,15,13,14,7,17,15,21,19,10,0,0,0,0,8,7,6,11,20,14,7,0,0,0,73,1,2,0,0,0,100,30,0,93,25,0,0,0,0,0,248,B
